File,File.Name,Number.of.observations,population,measure,description,year,elig,race_code,sex_code,adjust,dual,url
"year 9, fltr3&4, racecat all, sexcat 2",Prev_Final_long_fltr34_year_9_racecat_all_sexcat_2.csv,10708239,f,v,Prevalence,9,,.,2,34,,prev_final_long_fltr34_year_9_racecat_all_sexcat_2
"year 9, fltr3&4, racecat all, sexcat all",Prev_Final_long_fltr34_year_9_racecat_all_sexcat_all.csv,11851132,f,v,Prevalence,9,,.,.,34,,prev_final_long_fltr34_year_9_racecat_all_sexcat_all
"year 9, fltr3&4, racecat 1, sexcat 1",Prev_Final_long_fltr34_year_9_racecat_1_sexcat_1.csv,9971953,f,v,Prevalence,9,,1,1,34,,prev_final_long_fltr34_year_9_racecat_1_sexcat_1
"year 9, fltr3&4, racecat 1, sexcat 2",Prev_Final_long_fltr34_year_9_racecat_1_sexcat_2.csv,9979443,f,v,Prevalence,9,,1,2,34,,prev_final_long_fltr34_year_9_racecat_1_sexcat_2
"year 9, fltr3&4, racecat 1, sexcat all",Prev_Final_long_fltr34_year_9_racecat_1_sexcat_all.csv,11012235,f,v,Prevalence,9,,1,.,34,,prev_final_long_fltr34_year_9_racecat_1_sexcat_all
"year 20, fltr1&2, racecat 2",Prev_Final_long_fltr12_year_20_racecat_2.csv,0,f,v,Prevalence,20,,2,,12,,prev_final_long_fltr12_year_20_racecat_2
"year 20, fltr1&2, racecat 4",Prev_Final_long_fltr12_year_20_racecat_4.csv,0,f,v,Prevalence,20,,4,,12,,prev_final_long_fltr12_year_20_racecat_4
"year 20, fltr1&2, racecat 5",Prev_Final_long_fltr12_year_20_racecat_5.csv,0,f,v,Prevalence,20,,5,,12,,prev_final_long_fltr12_year_20_racecat_5
"year 20, fltr1&2, racecat 6",Prev_Final_long_fltr12_year_20_racecat_6.csv,0,f,v,Prevalence,20,,6,,12,,prev_final_long_fltr12_year_20_racecat_6
"year 20, fltr1&2, racecat all, sexcat 1",Prev_Final_long_fltr12_year_20_racecat_all_sexcat_1.csv,0,f,v,Prevalence,20,,.,1,12,,prev_final_long_fltr12_year_20_racecat_all_sexcat_1
"year 20, fltr1&2, racecat all, sexcat 2",Prev_Final_long_fltr12_year_20_racecat_all_sexcat_2.csv,0,f,v,Prevalence,20,,.,2,12,,prev_final_long_fltr12_year_20_racecat_all_sexcat_2
"year 20, fltr1&2, racecat all, sexcat all",Prev_Final_long_fltr12_year_20_racecat_all_sexcat_all.csv,0,f,v,Prevalence,20,,.,.,12,,prev_final_long_fltr12_year_20_racecat_all_sexcat_all
"year 20, fltr1&2, racecat 1, sexcat 1",Prev_Final_long_fltr12_year_20_racecat_1_sexcat_1.csv,0,f,v,Prevalence,20,,1,1,12,,prev_final_long_fltr12_year_20_racecat_1_sexcat_1
"year 20, fltr1&2, racecat 1, sexcat 2",Prev_Final_long_fltr12_year_20_racecat_1_sexcat_2.csv,0,f,v,Prevalence,20,,1,2,12,,prev_final_long_fltr12_year_20_racecat_1_sexcat_2
"year 20, fltr1&2, racecat 1, sexcat all",Prev_Final_long_fltr12_year_20_racecat_1_sexcat_all.csv,0,f,v,Prevalence,20,,1,.,12,,prev_final_long_fltr12_year_20_racecat_1_sexcat_all
"year 20, fltr3&4, racecat 2",Prev_Final_long_fltr34_year_20_racecat_2.csv,0,f,v,Prevalence,20,,2,,34,,prev_final_long_fltr34_year_20_racecat_2
"year 20, fltr3&4, racecat 4",Prev_Final_long_fltr34_year_20_racecat_4.csv,0,f,v,Prevalence,20,,4,,34,,prev_final_long_fltr34_year_20_racecat_4
"year 20, fltr3&4, racecat 5",Prev_Final_long_fltr34_year_20_racecat_5.csv,0,f,v,Prevalence,20,,5,,34,,prev_final_long_fltr34_year_20_racecat_5
"year 20, fltr3&4, racecat 6",Prev_Final_long_fltr34_year_20_racecat_6.csv,0,f,v,Prevalence,20,,6,,34,,prev_final_long_fltr34_year_20_racecat_6
"year 20, fltr3&4, racecat all, sexcat 1",Prev_Final_long_fltr34_year_20_racecat_all_sexcat_1.csv,0,f,v,Prevalence,20,,.,1,34,,prev_final_long_fltr34_year_20_racecat_all_sexcat_1
"year 20, fltr3&4, racecat all, sexcat 2",Prev_Final_long_fltr34_year_20_racecat_all_sexcat_2.csv,0,f,v,Prevalence,20,,.,2,34,,prev_final_long_fltr34_year_20_racecat_all_sexcat_2
"year 20, fltr3&4, racecat all, sexcat all",Prev_Final_long_fltr34_year_20_racecat_all_sexcat_all.csv,0,f,v,Prevalence,20,,.,.,34,,prev_final_long_fltr34_year_20_racecat_all_sexcat_all
"year 20, fltr3&4, racecat 1, sexcat 1",Prev_Final_long_fltr34_year_20_racecat_1_sexcat_1.csv,0,f,v,Prevalence,20,,1,1,34,,prev_final_long_fltr34_year_20_racecat_1_sexcat_1
"year 20, fltr3&4, racecat 1, sexcat 2",Prev_Final_long_fltr34_year_20_racecat_1_sexcat_2.csv,0,f,v,Prevalence,20,,1,2,34,,prev_final_long_fltr34_year_20_racecat_1_sexcat_2
"year 20, fltr3&4, racecat 1, sexcat all",Prev_Final_long_fltr34_year_20_racecat_1_sexcat_all.csv,0,f,v,Prevalence,20,,1,.,34,,prev_final_long_fltr34_year_20_racecat_1_sexcat_all
"year 6, fltr3&4, eligcat0-3, sexcat all, dual 0",Hosp_Final_long_nonblankelig_fltr34_year_6_sexcat_all_dual_0.csv,8293830,f,h,Hospitalization,6,1230,,.,34,0,hosp_final_long_nonblankelig_fltr34_year_6_sexcat_all_dual_0
"year 6, fltr3&4, eligcat0-3, sexcat all, dual 1",Hosp_Final_long_nonblankelig_fltr34_year_6_sexcat_all_dual_1.csv,6801372,f,h,Hospitalization,6,1230,,.,34,1,hosp_final_long_nonblankelig_fltr34_year_6_sexcat_all_dual_1
"year 6, fltr3&4, eligcat0-3, sexcat all, dual all",Hosp_Final_long_nonblankelig_fltr34_year_6_sexcat_all_dual_all.csv,9480887,f,h,Hospitalization,6,1230,,.,34,.,hosp_final_long_nonblankelig_fltr34_year_6_sexcat_all_dual_all
"year 6, fltr3&4, eligcat0-3, sexcat 1",Hosp_Final_long_nonblankelig_fltr34_year_6_sexcat_1.csv,20067185,f,h,Hospitalization,6,1230,,1,34,,hosp_final_long_nonblankelig_fltr34_year_6_sexcat_1
"year 6, fltr3&4, eligcat0-3, sexcat 2",Hosp_Final_long_nonblankelig_fltr34_year_6_sexcat_2.csv,20045830,f,h,Hospitalization,6,1230,,2,34,,hosp_final_long_nonblankelig_fltr34_year_6_sexcat_2
"year 7, fltr3&4, eligcat0-3, sexcat all, dual 0",Hosp_Final_long_nonblankelig_fltr34_year_7_sexcat_all_dual_0.csv,8310756,f,h,Hospitalization,7,1230,,.,34,0,hosp_final_long_nonblankelig_fltr34_year_7_sexcat_all_dual_0
"year 7, fltr3&4, eligcat0-3, sexcat all, dual 1",Hosp_Final_long_nonblankelig_fltr34_year_7_sexcat_all_dual_1.csv,6793432,f,h,Hospitalization,7,1230,,.,34,1,hosp_final_long_nonblankelig_fltr34_year_7_sexcat_all_dual_1
"year 7, fltr3&4, eligcat0-3, sexcat all, dual all",Hosp_Final_long_nonblankelig_fltr34_year_7_sexcat_all_dual_all.csv,9493548,f,h,Hospitalization,7,1230,,.,34,.,hosp_final_long_nonblankelig_fltr34_year_7_sexcat_all_dual_all
"year 7, fltr3&4, eligcat0-3, sexcat 1",Hosp_Final_long_nonblankelig_fltr34_year_7_sexcat_1.csv,20103474,f,h,Hospitalization,7,1230,,1,34,,hosp_final_long_nonblankelig_fltr34_year_7_sexcat_1
"year 7, fltr3&4, eligcat0-3, sexcat 2",Hosp_Final_long_nonblankelig_fltr34_year_7_sexcat_2.csv,20056851,f,h,Hospitalization,7,1230,,2,34,,hosp_final_long_nonblankelig_fltr34_year_7_sexcat_2
"year 8, fltr3&4, racecat 2",Hosp_Final_long_fltr34_year_8_racecat_2.csv,13893896,f,h,Hospitalization,8,,2,,34,,hosp_final_long_fltr34_year_8_racecat_2
"year 8, fltr3&4, racecat 3",Hosp_Final_long_fltr34_year_8_racecat_3.csv,4268669,f,h,Hospitalization,8,,3,,34,,hosp_final_long_fltr34_year_8_racecat_3
"year 8, fltr3&4, racecat 4",Hosp_Final_long_fltr34_year_8_racecat_4.csv,5336559,f,h,Hospitalization,8,,4,,34,,hosp_final_long_fltr34_year_8_racecat_4
"year 8, fltr3&4, racecat 5",Hosp_Final_long_fltr34_year_8_racecat_5.csv,11236076,f,h,Hospitalization,8,,5,,34,,hosp_final_long_fltr34_year_8_racecat_5
"year 8, fltr3&4, racecat 6",Hosp_Final_long_fltr34_year_8_racecat_6.csv,3484376,f,h,Hospitalization,8,,6,,34,,hosp_final_long_fltr34_year_8_racecat_6
"year 8, fltr3&4, racecat all, sexcat 1",Hosp_Final_long_fltr34_year_8_racecat_all_sexcat_1.csv,10726787,f,h,Hospitalization,8,,.,1,34,,hosp_final_long_fltr34_year_8_racecat_all_sexcat_1
"year 8, fltr3&4, racecat all, sexcat 2",Hosp_Final_long_fltr34_year_8_racecat_all_sexcat_2.csv,10688724,f,h,Hospitalization,8,,.,2,34,,hosp_final_long_fltr34_year_8_racecat_all_sexcat_2
"year 8, fltr3&4, racecat all, sexcat all",Hosp_Final_long_fltr34_year_8_racecat_all_sexcat_all.csv,11837153,f,h,Hospitalization,8,,.,.,34,,hosp_final_long_fltr34_year_8_racecat_all_sexcat_all
"year 8, fltr3&4, racecat 1, sexcat 1",Hosp_Final_long_fltr34_year_8_racecat_1_sexcat_1.csv,9798554,f,h,Hospitalization,8,,1,1,34,,hosp_final_long_fltr34_year_8_racecat_1_sexcat_1
"year 8, fltr3&4, racecat 1, sexcat 2",Hosp_Final_long_fltr34_year_8_racecat_1_sexcat_2.csv,9874380,f,h,Hospitalization,8,,1,2,34,,hosp_final_long_fltr34_year_8_racecat_1_sexcat_2
"year 8, fltr3&4, racecat 1, sexcat all",Hosp_Final_long_fltr34_year_8_racecat_1_sexcat_all.csv,10879249,f,h,Hospitalization,8,,1,.,34,,hosp_final_long_fltr34_year_8_racecat_1_sexcat_all
"year 9, fltr3&4, racecat 2",Hosp_Final_long_fltr34_year_9_racecat_2.csv,13754774,f,h,Hospitalization,9,,2,,34,,hosp_final_long_fltr34_year_9_racecat_2
"year 9, fltr3&4, racecat 3",Hosp_Final_long_fltr34_year_9_racecat_3.csv,4242079,f,h,Hospitalization,9,,3,,34,,hosp_final_long_fltr34_year_9_racecat_3
"year 9, fltr3&4, racecat 4",Hosp_Final_long_fltr34_year_9_racecat_4.csv,5364735,f,h,Hospitalization,9,,4,,34,,hosp_final_long_fltr34_year_9_racecat_4
"year 9, fltr3&4, racecat 5",Hosp_Final_long_fltr34_year_9_racecat_5.csv,11264598,f,h,Hospitalization,9,,5,,34,,hosp_final_long_fltr34_year_9_racecat_5
"year 9, fltr3&4, racecat 6",Hosp_Final_long_fltr34_year_9_racecat_6.csv,3402005,f,h,Hospitalization,9,,6,,34,,hosp_final_long_fltr34_year_9_racecat_6
"year 9, fltr3&4, racecat all, sexcat 1",Hosp_Final_long_fltr34_year_9_racecat_all_sexcat_1.csv,10691539,f,h,Hospitalization,9,,.,1,34,,hosp_final_long_fltr34_year_9_racecat_all_sexcat_1
"year 9, fltr3&4, racecat all, sexcat 2",Hosp_Final_long_fltr34_year_9_racecat_all_sexcat_2.csv,10660265,f,h,Hospitalization,9,,.,2,34,,hosp_final_long_fltr34_year_9_racecat_all_sexcat_2
"year 9, fltr3&4, racecat all, sexcat all",Hosp_Final_long_fltr34_year_9_racecat_all_sexcat_all.csv,11801219,f,h,Hospitalization,9,,.,.,34,,hosp_final_long_fltr34_year_9_racecat_all_sexcat_all
"year 9, fltr3&4, racecat 1, sexcat 1",Hosp_Final_long_fltr34_year_9_racecat_1_sexcat_1.csv,9757983,f,h,Hospitalization,9,,1,1,34,,hosp_final_long_fltr34_year_9_racecat_1_sexcat_1
"year 9, fltr3&4, racecat 1, sexcat 2",Hosp_Final_long_fltr34_year_9_racecat_1_sexcat_2.csv,9842887,f,h,Hospitalization,9,,1,2,34,,hosp_final_long_fltr34_year_9_racecat_1_sexcat_2
"year 9, fltr3&4, racecat 1, sexcat all",Hosp_Final_long_fltr34_year_9_racecat_1_sexcat_all.csv,10844810,f,h,Hospitalization,9,,1,.,34,,hosp_final_long_fltr34_year_9_racecat_1_sexcat_all
"year 20, fltr1&2, racecat 2",Hosp_Final_long_fltr12_year_20_racecat_2.csv,0,f,h,Hospitalization,20,,2,,12,,hosp_final_long_fltr12_year_20_racecat_2
"year 20, fltr1&2, racecat 4",Hosp_Final_long_fltr12_year_20_racecat_4.csv,0,f,h,Hospitalization,20,,4,,12,,hosp_final_long_fltr12_year_20_racecat_4
"year 20, fltr1&2, racecat 5",Hosp_Final_long_fltr12_year_20_racecat_5.csv,0,f,h,Hospitalization,20,,5,,12,,hosp_final_long_fltr12_year_20_racecat_5
"year 20, fltr1&2, racecat 6",Hosp_Final_long_fltr12_year_20_racecat_6.csv,0,f,h,Hospitalization,20,,6,,12,,hosp_final_long_fltr12_year_20_racecat_6
"year 20, fltr1&2, racecat all, sexcat 1",Hosp_Final_long_fltr12_year_20_racecat_all_sexcat_1.csv,0,f,h,Hospitalization,20,,.,1,12,,hosp_final_long_fltr12_year_20_racecat_all_sexcat_1
"year 20, fltr1&2, racecat all, sexcat 2",Hosp_Final_long_fltr12_year_20_racecat_all_sexcat_2.csv,0,f,h,Hospitalization,20,,.,2,12,,hosp_final_long_fltr12_year_20_racecat_all_sexcat_2
"year 20, fltr1&2, racecat all, sexcat all",Hosp_Final_long_fltr12_year_20_racecat_all_sexcat_all.csv,0,f,h,Hospitalization,20,,.,.,12,,hosp_final_long_fltr12_year_20_racecat_all_sexcat_all
"year 20, fltr1&2, racecat 1, sexcat 1",Hosp_Final_long_fltr12_year_20_racecat_1_sexcat_1.csv,0,f,h,Hospitalization,20,,1,1,12,,hosp_final_long_fltr12_year_20_racecat_1_sexcat_1
"year 20, fltr1&2, racecat 1, sexcat 2",Hosp_Final_long_fltr12_year_20_racecat_1_sexcat_2.csv,0,f,h,Hospitalization,20,,1,2,12,,hosp_final_long_fltr12_year_20_racecat_1_sexcat_2
"year 20, fltr1&2, racecat 1, sexcat all",Hosp_Final_long_fltr12_year_20_racecat_1_sexcat_all.csv,0,f,h,Hospitalization,20,,1,.,12,,hosp_final_long_fltr12_year_20_racecat_1_sexcat_all
"year 20, fltr3&4, racecat 2",Hosp_Final_long_fltr34_year_20_racecat_2.csv,0,f,h,Hospitalization,20,,2,,34,,hosp_final_long_fltr34_year_20_racecat_2
"year 20, fltr3&4, racecat 4",Hosp_Final_long_fltr34_year_20_racecat_4.csv,0,f,h,Hospitalization,20,,4,,34,,hosp_final_long_fltr34_year_20_racecat_4
"year 20, fltr3&4, racecat 5",Hosp_Final_long_fltr34_year_20_racecat_5.csv,0,f,h,Hospitalization,20,,5,,34,,hosp_final_long_fltr34_year_20_racecat_5
"year 20, fltr3&4, racecat 6",Hosp_Final_long_fltr34_year_20_racecat_6.csv,0,f,h,Hospitalization,20,,6,,34,,hosp_final_long_fltr34_year_20_racecat_6
"year 20, fltr3&4, racecat all, sexcat 1",Hosp_Final_long_fltr34_year_20_racecat_all_sexcat_1.csv,0,f,h,Hospitalization,20,,.,1,34,,hosp_final_long_fltr34_year_20_racecat_all_sexcat_1
"year 20, fltr3&4, racecat all, sexcat 2",Hosp_Final_long_fltr34_year_20_racecat_all_sexcat_2.csv,0,f,h,Hospitalization,20,,.,2,34,,hosp_final_long_fltr34_year_20_racecat_all_sexcat_2
"year 20, fltr3&4, racecat all, sexcat all",Hosp_Final_long_fltr34_year_20_racecat_all_sexcat_all.csv,0,f,h,Hospitalization,20,,.,.,34,,hosp_final_long_fltr34_year_20_racecat_all_sexcat_all
"year 20, fltr3&4, racecat 1, sexcat 1",Hosp_Final_long_fltr34_year_20_racecat_1_sexcat_1.csv,0,f,h,Hospitalization,20,,1,1,34,,hosp_final_long_fltr34_year_20_racecat_1_sexcat_1
"year 20, fltr3&4, racecat 1, sexcat 2",Hosp_Final_long_fltr34_year_20_racecat_1_sexcat_2.csv,0,f,h,Hospitalization,20,,1,2,34,,hosp_final_long_fltr34_year_20_racecat_1_sexcat_2
"year 20, fltr3&4, racecat 1, sexcat all",Hosp_Final_long_fltr34_year_20_racecat_1_sexcat_all.csv,0,f,h,Hospitalization,20,,1,.,34,,hosp_final_long_fltr34_year_20_racecat_1_sexcat_all
"year 9, fltr3&4, racecat 2",ED_Final_long_fltr34_year_9_racecat_2.csv,13472360,f,e,Emergency Room,9,,2,,34,,ed_final_long_fltr34_year_9_racecat_2
"year 9, fltr3&4, racecat 3",ED_Final_long_fltr34_year_9_racecat_3.csv,4156764,f,e,Emergency Room,9,,3,,34,,ed_final_long_fltr34_year_9_racecat_3
"year 9, fltr3&4, racecat 4",ED_Final_long_fltr34_year_9_racecat_4.csv,5344372,f,e,Emergency Room,9,,4,,34,,ed_final_long_fltr34_year_9_racecat_4
"year 9, fltr3&4, racecat 5",ED_Final_long_fltr34_year_9_racecat_5.csv,11037015,f,e,Emergency Room,9,,5,,34,,ed_final_long_fltr34_year_9_racecat_5
"year 9, fltr3&4, racecat 6",ED_Final_long_fltr34_year_9_racecat_6.csv,3232284,f,e,Emergency Room,9,,6,,34,,ed_final_long_fltr34_year_9_racecat_6
"year 9, fltr3&4, racecat all, sexcat 1",ED_Final_long_fltr34_year_9_racecat_all_sexcat_1.csv,10647076,f,e,Emergency Room,9,,.,1,34,,ed_final_long_fltr34_year_9_racecat_all_sexcat_1
"year 9, fltr3&4, racecat all, sexcat 2",ED_Final_long_fltr34_year_9_racecat_all_sexcat_2.csv,10653166,f,e,Emergency Room,9,,.,2,34,,ed_final_long_fltr34_year_9_racecat_all_sexcat_2
"year 9, fltr3&4, racecat all, sexcat all",ED_Final_long_fltr34_year_9_racecat_all_sexcat_all.csv,11755379,f,e,Emergency Room,9,,.,.,34,,ed_final_long_fltr34_year_9_racecat_all_sexcat_all
"year 9, fltr3&4, racecat 1, dual 0",ED_Final_long_fltr34_year_9_racecat_1_dual_0.csv,10508787,f,e,Emergency Room,9,,1,,34,0,ed_final_long_fltr34_year_9_racecat_1_dual_0
"year 9, fltr3&4, racecat 1, dual 1",ED_Final_long_fltr34_year_9_racecat_1_dual_1.csv,8908513,f,e,Emergency Room,9,,1,,34,1,ed_final_long_fltr34_year_9_racecat_1_dual_1
"year 9, fltr3&4, racecat 1, dual all",ED_Final_long_fltr34_year_9_racecat_1_dual_all.csv,11013370,f,e,Emergency Room,9,,1,,34,.,ed_final_long_fltr34_year_9_racecat_1_dual_all
"year 20, fltr1&2, racecat 2",ED_Final_long_fltr12_year_20_racecat_2.csv,0,f,e,Emergency Room,20,,2,,12,,ed_final_long_fltr12_year_20_racecat_2
"year 20, fltr1&2, racecat 4",ED_Final_long_fltr12_year_20_racecat_4.csv,0,f,e,Emergency Room,20,,4,,12,,ed_final_long_fltr12_year_20_racecat_4
"year 20, fltr1&2, racecat 5",ED_Final_long_fltr12_year_20_racecat_5.csv,0,f,e,Emergency Room,20,,5,,12,,ed_final_long_fltr12_year_20_racecat_5
"year 20, fltr1&2, racecat 6",ED_Final_long_fltr12_year_20_racecat_6.csv,0,f,e,Emergency Room,20,,6,,12,,ed_final_long_fltr12_year_20_racecat_6
"year 20, fltr1&2, racecat all, sexcat 1",ED_Final_long_fltr12_year_20_racecat_all_sexcat_1.csv,0,f,e,Emergency Room,20,,.,1,12,,ed_final_long_fltr12_year_20_racecat_all_sexcat_1
"year 20, fltr1&2, racecat all, sexcat 2",ED_Final_long_fltr12_year_20_racecat_all_sexcat_2.csv,0,f,e,Emergency Room,20,,.,2,12,,ed_final_long_fltr12_year_20_racecat_all_sexcat_2
"year 20, fltr1&2, racecat all, sexcat all",ED_Final_long_fltr12_year_20_racecat_all_sexcat_all.csv,0,f,e,Emergency Room,20,,.,.,12,,ed_final_long_fltr12_year_20_racecat_all_sexcat_all
"year 20, fltr1&2, racecat 1, dual 0",ED_Final_long_fltr12_year_20_racecat_1_dual_0.csv,0,f,e,Emergency Room,20,,1,,12,0,ed_final_long_fltr12_year_20_racecat_1_dual_0
"year 20, fltr1&2, racecat 1, dual 1",ED_Final_long_fltr12_year_20_racecat_1_dual_1.csv,0,f,e,Emergency Room,20,,1,,12,1,ed_final_long_fltr12_year_20_racecat_1_dual_1
"year 20, fltr1&2, racecat 1, dual all",ED_Final_long_fltr12_year_20_racecat_1_dual_all.csv,0,f,e,Emergency Room,20,,1,,12,.,ed_final_long_fltr12_year_20_racecat_1_dual_all
"year 20, fltr3&4, racecat 2",ED_Final_long_fltr34_year_20_racecat_2.csv,0,f,e,Emergency Room,20,,2,,34,,ed_final_long_fltr34_year_20_racecat_2
"year 20, fltr3&4, racecat 4",ED_Final_long_fltr34_year_20_racecat_4.csv,0,f,e,Emergency Room,20,,4,,34,,ed_final_long_fltr34_year_20_racecat_4
"year 20, fltr3&4, racecat 5",ED_Final_long_fltr34_year_20_racecat_5.csv,0,f,e,Emergency Room,20,,5,,34,,ed_final_long_fltr34_year_20_racecat_5
"year 20, fltr3&4, racecat 6",ED_Final_long_fltr34_year_20_racecat_6.csv,0,f,e,Emergency Room,20,,6,,34,,ed_final_long_fltr34_year_20_racecat_6
"year 20, fltr3&4, racecat all, sexcat 1",ED_Final_long_fltr34_year_20_racecat_all_sexcat_1.csv,0,f,e,Emergency Room,20,,.,1,34,,ed_final_long_fltr34_year_20_racecat_all_sexcat_1
"year 20, fltr3&4, racecat all, sexcat 2",ED_Final_long_fltr34_year_20_racecat_all_sexcat_2.csv,0,f,e,Emergency Room,20,,.,2,34,,ed_final_long_fltr34_year_20_racecat_all_sexcat_2
"year 20, fltr3&4, racecat all, sexcat all",ED_Final_long_fltr34_year_20_racecat_all_sexcat_all.csv,0,f,e,Emergency Room,20,,.,.,34,,ed_final_long_fltr34_year_20_racecat_all_sexcat_all
"year 20, fltr3&4, racecat 1, dual 0",ED_Final_long_fltr34_year_20_racecat_1_dual_0.csv,0,f,e,Emergency Room,20,,1,,34,0,ed_final_long_fltr34_year_20_racecat_1_dual_0
"year 20, fltr3&4, racecat 1, dual 1",ED_Final_long_fltr34_year_20_racecat_1_dual_1.csv,0,f,e,Emergency Room,20,,1,,34,1,ed_final_long_fltr34_year_20_racecat_1_dual_1
"year 20, fltr3&4, racecat 1, dual all",ED_Final_long_fltr34_year_20_racecat_1_dual_all.csv,0,f,e,Emergency Room,20,,1,,34,.,ed_final_long_fltr34_year_20_racecat_1_dual_all
"year 20, dual 0",Totalcost_Final_long_year_20_dual_0.csv,0,f,t,Total Cost,20,,,,,0,totalcost_final_long_year_20_dual_0
"year 20, dual 1",Totalcost_Final_long_year_20_dual_1.csv,0,f,t,Total Cost,20,,,,,1,totalcost_final_long_year_20_dual_1
"year 20, dual all",Totalcost_Final_long_year_20_dual_all.csv,0,f,t,Total Cost,20,,,,,.,totalcost_final_long_year_20_dual_all
"year 20, dual 0",Riskcost_Final_long_year_20_dual_0.csv,0,f,a,Risk-adjusted cost,20,,,,,0,riskcost_final_long_year_20_dual_0
"year 20, dual 1",Riskcost_Final_long_year_20_dual_1.csv,0,f,a,Risk-adjusted cost,20,,,,,1,riskcost_final_long_year_20_dual_1
"year 20, dual all",Riskcost_Final_long_year_20_dual_all.csv,0,f,a,Risk-adjusted cost,20,,,,,.,riskcost_final_long_year_20_dual_all
"year 20, dual 0",Principalcost_Final_long_year_20_dual_0.csv,13360587,f,p,Principal Cost,20,,,,,0,principalcost_final_long_year_20_dual_0
"year 20, dual 1",Principalcost_Final_long_year_20_dual_1.csv,9633504,f,p,Principal Cost,20,,,,,1,principalcost_final_long_year_20_dual_1
"year 20, dual all",Principalcost_Final_long_year_20_dual_all.csv,16045435,f,p,Principal Cost,20,,,,,.,principalcost_final_long_year_20_dual_all
"year 20, dual 0",Principalcost_Final_long_year_20_dual_0.csv,0,f,p,Principal Cost,20,,,,,0,principalcost_final_long_year_20_dual_0
"year 20, dual 1",Principalcost_Final_long_year_20_dual_1.csv,0,f,p,Principal Cost,20,,,,,1,principalcost_final_long_year_20_dual_1
"year 20, dual all",Principalcost_Final_long_year_20_dual_all.csv,0,f,p,Principal Cost,20,,,,,.,principalcost_final_long_year_20_dual_all
"year 20, eligcat 2",Precare_Final_long_year_20_eligcat_2.csv,0,f,c,Preventive Care,20,2,,,,,precare_final_long_year_20_eligcat_2
"year 20, eligcat 3",Precare_Final_long_year_20_eligcat_3.csv,0,f,c,Preventive Care,20,3,,,,,precare_final_long_year_20_eligcat_3
"year 20, eligcat all , dual 0",Precare_Final_long_year_20_eligcat_all_dual_0.csv,0,f,c,Preventive Care,20,.,,,,0,precare_final_long_year_20_eligcat_all_dual_0
"year 20, eligcat all , dual 1",Precare_Final_long_year_20_eligcat_all_dual_1.csv,0,f,c,Preventive Care,20,.,,,,1,precare_final_long_year_20_eligcat_all_dual_1
"year 20, eligcat all , dual all",Precare_Final_long_year_20_eligcat_all_dual_all.csv,0,f,c,Preventive Care,20,.,,,,.,precare_final_long_year_20_eligcat_all_dual_all
"year 20, eligcat 0, dual 0",Precare_Final_long_year_20_eligcat_0_dual_0.csv,0,f,c,Preventive Care,20,0,,,,0,precare_final_long_year_20_eligcat_0_dual_0
"year 20, eligcat 0, dual 1",Precare_Final_long_year_20_eligcat_0_dual_1.csv,0,f,c,Preventive Care,20,0,,,,1,precare_final_long_year_20_eligcat_0_dual_1
"year 20, eligcat 0, dual all",Precare_Final_long_year_20_eligcat_0_dual_all.csv,0,f,c,Preventive Care,20,0,,,,.,precare_final_long_year_20_eligcat_0_dual_all
"year 20, eligcat 1, dual 0",Precare_Final_long_year_20_eligcat_1_dual_0.csv,0,f,c,Preventive Care,20,1,,,,0,precare_final_long_year_20_eligcat_1_dual_0
"year 20, eligcat 1, dual 1",Precare_Final_long_year_20_eligcat_1_dual_1.csv,0,f,c,Preventive Care,20,1,,,,1,precare_final_long_year_20_eligcat_1_dual_1
"year 20, eligcat 1, dual all",Precare_Final_long_year_20_eligcat_1_dual_all.csv,0,f,c,Preventive Care,20,1,,,,.,precare_final_long_year_20_eligcat_1_dual_all
year 20,PQI_Final_long_year_20.csv,0,f,q,PQI,20,,,,,,pqi_final_long_year_20
year 20,Readmission_Final_long 20.csv,0,f,r,Readmission,20,,,,,,readmission_final_long_20
year 20,Mortality_Final_long 20.csv,0,f,m,Mortality,20,,,,,,mortality_final_long_20
"year 20, dual 0",Admsn_Final_long_dual_0_20.csv,0,f,n,Admission Type,20,,,,,0,admsn_final_long_dual_0_20
"year 20, dual 1",Admsn_Final_long_dual_1_20.csv,0,f,n,Admission Type,20,,,,,1,admsn_final_long_dual_1_20
"year 20, dual all",Admsn_Final_long_dual_all_20.csv,0,f,n,Admission Type,20,,,,,.,admsn_final_long_dual_all_20
"year 20, dual 0",Dschrg_Final_long_dual_0_20.csv ,0,f,d,Discharge Destination,20,,,,,0,dschrg_final_long_dual_0_20
"year 20, dual 1",Dschrg_Final_long_dual_1_20.csv ,0,f,d,Discharge Destination,20,,,,,1,dschrg_final_long_dual_1_20
"year 20, dual all",Dschrg_Final_long_dual_all_20.csv ,0,f,d,Discharge Destination,20,,,,,.,dschrg_final_long_dual_all_20
year 20,Ipdays_Final_long 20.csv ,0,f,i,Inpatient Days,20,,,,,,ipdays_final_long_20
year 20,Mdcr_pmt_Final_long 20.csv,0,f,b,Medicare Reimbursement,20,,,,,,mdcr_pmt_final_long_20
"year 20, sex 1",PSI_Final_long_sex_1_20.csv ,0,f,s,PSI,20,,,1,,,psi_final_long_sex_1_20
"year 20, sex 2",PSI_Final_long_sex_2_20.csv ,0,f,s,PSI,20,,,2,,,psi_final_long_sex_2_20
